Crash Number,Crash Date,Crash Time
3391606,2/17/2013,1:52 PM
3391609,3/9/2013,6:58 PM
3391615,2/24/2013,11:16 AM
3391621,2/21/2013,4:37 PM
3391630,2/23/2013,5:58 PM
3391639,3/21/2013,12:45 PM
3391643,3/25/2013,3:40 PM
3391647,3/6/2013,2:50 PM
3391648,3/24/2013,7:45 PM
3391651,2/1/2013,12:43 PM
3391652,1/29/2013,10:31 PM
3391663,3/15/2013,6:35 AM
3391668,2/13/2013,2:18 PM
3391673,3/17/2013,7:38 PM
3391686,2/16/2013,8:41 PM
3391701,2/13/2013,10:33 AM
3391705,2/13/2013,4:40 PM
3391711,3/8/2013,6:43 AM
3391726,4/1/2013,10:07 AM
3391734,3/13/2013,7:43 AM
3391739,1/31/2013,7:35 PM
3350368,1/26/2013,5:55 AM
3350369,1/27/2013,9:15 AM
3350373,1/30/2013,4:24 PM
3350374,1/31/2013,10:30 AM
3350378,1/24/2013,5:38 PM
3350379,1/30/2013,1:52 PM
3350396,2/4/2013,1:55 PM
3350399,2/1/2013,7:12 PM
3350401,2/4/2013,10:25 AM
3350405,1/16/2013,9:14 AM
3350420,1/28/2013,5:25 PM
3350421,1/29/2013,7:32 AM
3350423,1/29/2013,5:28 PM
3350453,2/5/2013,7:06 PM
3350461,1/27/2013,2:00 AM
3350466,1/31/2013,2:06 AM
3350470,1/29/2013,9:54 AM
3350472,2/1/2013,6:55 AM
3350476,1/26/2013,2:15 AM
3350485,2/1/2013,6:30 AM
3350487,1/29/2013,5:13 PM
3349848,2/3/2013,2:04 AM
3349852,2/4/2013,00:00 AM
3349854,1/28/2013,2:58 PM
3349861,2/1/2013,1:27 PM
3349862,1/22/2013,9:20 AM
3349865,1/29/2013,7:16 AM
3349866,2/3/2013,10:55 AM
3349868,2/1/2013,10:14 PM
3349871,1/10/2013,12:50 PM
3349930,2/1/2013,4:16 PM
3349932,2/1/2013,5:58 PM
3349934,2/1/2013,6:52 PM
3349936,2/2/2013,2:00 AM
3349937,2/2/2013,2:24 AM
3349940,2/2/2013,12:16 PM
3349942,2/2/2013,12:08 PM
3349945,2/3/2013,1:08 AM
3349949,2/3/2013,7:53 AM
3349950,2/3/2013,8:46 AM
3349979,1/10/2013,8:48 AM
3349982,1/14/2013,5:32 PM
3349983,1/16/2013,6:32 AM
3349989,2/1/2013,11:37 AM
3349991,2/1/2013,9:39 PM
3349992,2/2/2013,6:16 PM
3350000,2/3/2013,5:35 PM
3350001,1/2/2013,7:48 AM
3350002,1/4/2013,9:18 AM
3350005,1/5/2013,2:38 PM
3350007,1/9/2013,2:21 PM
3350008,1/10/2013,2:58 PM
